height,skin_tone,body_type,gender,style_preference,fit_recommendation,top_recommendation,color_recommendation,extra_recommendation
short,fair,slim,male,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,slim,male,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,slim,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,slim,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,slim,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,slim,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,slim,female,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,slim,female,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,slim,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,slim,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,slim,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,slim,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,slim,unisex,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,slim,unisex,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,slim,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,slim,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,slim,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,slim,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,athletic,male,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,athletic,male,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,athletic,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,athletic,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,athletic,male,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,athletic,male,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,athletic,female,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,athletic,female,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,athletic,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,athletic,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,athletic,female,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,athletic,female,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,athletic,unisex,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,athletic,unisex,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,athletic,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,athletic,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,athletic,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,athletic,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,fair,heavy,male,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",low-contrast sneakers and shorter outerwear
short,fair,heavy,male,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
short,fair,heavy,male,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
short,fair,heavy,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",low-contrast sneakers and shorter outerwear
